locatedInCR(afghanistan,asia) 0.294884 1
neighborOf(faroe_islands,namibia) 0.190794 2
neighborOf(faroe_islands,belarus) 0.174759 3
neighborOf(faroe_islands,ukraine) 0.173758 4
neighborOf(faroe_islands,hungary) 0.164721 5
neighborOf(faroe_islands,romania) 0.163487 6
neighborOf(faroe_islands,chad) 0.161101 7
neighborOf(faroe_islands,poland) 0.154681 8
neighborOf(faroe_islands,estonia) 0.151743 9
neighborOf(faroe_islands,lithuania) 0.151549 10
neighborOf(fiji,russia) 0.137200 1
neighborOf(fiji,iran) 0.127822 2
neighborOf(fiji,kenya) 0.127791 3
neighborOf(fiji,tanzania) 0.122228 4
neighborOf(fiji,afghanistan) 0.121174 5
neighborOf(fiji,myanmar) 0.115094 6
neighborOf(fiji,azerbaijan) 0.108352 7
neighborOf(fiji,dr_congo) 0.107059 8
neighborOf(fiji,chad) 0.106151 9
neighborOf(fiji,uganda) 0.104249 10
neighborOf(finland,belarus) 0.256879 4
neighborOf(finland,lithuania) 0.236152 5
neighborOf(finland,poland) 0.223307 6
neighborOf(finland,latvia) 0.204121 7
neighborOf(finland,jersey) 0.202844 8
neighborOf(finland,north_korea) 0.197904 9
neighborOf(finland,estonia) 0.185191 10
neighborOf(france,austria) 0.382994 9
neighborOf(france,china) 0.343326 10
neighborOf(french_guiana,venezuela) 0.272750 3
neighborOf(french_guiana,mongolia) 0.267934 4
neighborOf(french_guiana,peru) 0.224503 5
neighborOf(french_guiana,taiwan) 0.202821 6
neighborOf(french_guiana,argentina) 0.199459 7
neighborOf(french_guiana,france) 0.193830 8
neighborOf(french_guiana,paraguay) 0.186835 9
neighborOf(french_guiana,sudan) 0.179788 10
neighborOf(french_polynesia,iran) 0.151015 1
neighborOf(french_polynesia,ethiopia) 0.148005 2
neighborOf(french_polynesia,france) 0.136337 3
neighborOf(french_polynesia,south_sudan) 0.130073 4
neighborOf(french_polynesia,uganda) 0.126207 5
neighborOf(french_polynesia,china) 0.123043 6
neighborOf(french_polynesia,somalia) 0.121964 7
neighborOf(french_polynesia,zambia) 0.121163 8
neighborOf(french_polynesia,dr_congo) 0.116790 9
neighborOf(french_polynesia,american_samoa) 0.116010 10
neighborOf(gabon,central_african_republic) 0.320121 4
neighborOf(gabon,dr_congo) 0.298235 5
neighborOf(gabon,chad) 0.244758 6
neighborOf(gabon,nigeria) 0.209481 7
neighborOf(gabon,south_sudan) 0.208783 8
neighborOf(gabon,zambia) 0.201351 9
neighborOf(gabon,uganda) 0.201239 10
neighborOf(gambia,mali) 0.310181 2
neighborOf(gambia,niger) 0.258279 3
neighborOf(gambia,guinea) 0.220476 4
neighborOf(gambia,guinea_bissau) 0.186304 5
neighborOf(gambia,bulgaria) 0.180951 6
neighborOf(gambia,ivory_coast) 0.178889 7
neighborOf(gambia,hungary) 0.174132 8
neighborOf(gambia,algeria) 0.162055 9
neighborOf(gambia,benin) 0.158047 10
neighborOf(georgia,syria) 0.328816 5
neighborOf(georgia,iran) 0.304332 6
neighborOf(georgia,iraq) 0.288714 7
neighborOf(georgia,north_korea) 0.264247 8
neighborOf(georgia,saudi_arabia) 0.261536 9
neighborOf(georgia,oman) 0.241420 10
neighborOf(germany,italy) 0.373330 10
neighborOf(ghana,nigeria) 0.242543 4
neighborOf(ghana,niger) 0.202253 5
neighborOf(ghana,benin) 0.198840 6
neighborOf(ghana,mali) 0.194452 7
neighborOf(ghana,guinea) 0.172565 8
neighborOf(ghana,liberia) 0.170213 9
neighborOf(ghana,mauritania) 0.164478 10
neighborOf(gibraltar,italy) 0.162229 2
neighborOf(gibraltar,russia) 0.158412 3
neighborOf(gibraltar,germany) 0.152966 4
neighborOf(gibraltar,china) 0.148526 5
neighborOf(gibraltar,france) 0.143093 6
neighborOf(gibraltar,nigeria) 0.139280 7
neighborOf(gibraltar,niger) 0.136572 8
neighborOf(gibraltar,switzerland) 0.133523 9
neighborOf(gibraltar,slovakia) 0.128934 10
neighborOf(greece,hungary) 0.371426 5
neighborOf(greece,serbia) 0.349636 6
neighborOf(greece,croatia) 0.342112 7
neighborOf(greece,romania) 0.278612 8
neighborOf(greece,iraq) 0.278111 9
neighborOf(greece,kosovo) 0.276891 10
neighborOf(greenland,serbia) 0.171947 1
neighborOf(greenland,brazil) 0.164588 2
neighborOf(greenland,russia) 0.150467 3
neighborOf(greenland,pakistan) 0.147929 4
neighborOf(greenland,croatia) 0.144442 5
neighborOf(greenland,austria) 0.143338 6
neighborOf(greenland,slovakia) 0.142450 7
neighborOf(greenland,china) 0.140380 8
neighborOf(greenland,romania) 0.133227 9
neighborOf(greenland,turkmenistan) 0.133185 10
neighborOf(grenada,italy) 0.132661 1
neighborOf(grenada,argentina) 0.126835 2
neighborOf(grenada,malaysia) 0.126826 3
neighborOf(grenada,brazil) 0.125584 4
neighborOf(grenada,hungary) 0.124759 5
neighborOf(grenada,dominican_republic) 0.124025 6
neighborOf(grenada,russia) 0.118365 7
neighborOf(grenada,trinidad_and_tobago) 0.116306 8
neighborOf(grenada,haiti) 0.114789 9
neighborOf(grenada,france) 0.109297 10
neighborOf(guadeloupe,russia) 0.154411 1
neighborOf(guadeloupe,botswana) 0.141842 2
neighborOf(guadeloupe,mauritania) 0.128578 3
neighborOf(guadeloupe,chile) 0.128276 4
neighborOf(guadeloupe,mali) 0.126387 5
neighborOf(guadeloupe,burkina_faso) 0.120358 6
neighborOf(guadeloupe,niger) 0.119996 7
neighborOf(guadeloupe,ivory_coast) 0.119125 8
neighborOf(guadeloupe,nigeria) 0.118712 9
neighborOf(guadeloupe,senegal) 0.117732 10
neighborOf(guam,ukraine) 0.169405 1
neighborOf(guam,turkey) 0.151000 2
neighborOf(guam,south_sudan) 0.145379 3
neighborOf(guam,iran) 0.142927 4
neighborOf(guam,afghanistan) 0.136374 5
neighborOf(guam,kazakhstan) 0.133110 6
neighborOf(guam,serbia) 0.129610 7
neighborOf(guam,mongolia) 0.126154 8
neighborOf(guam,uzbekistan) 0.125461 9
neighborOf(guam,bulgaria) 0.124756 10
neighborOf(guatemala,zambia) 0.245695 5
neighborOf(guatemala,south_africa) 0.205375 6
neighborOf(guatemala,mali) 0.202430 7
neighborOf(guatemala,serbia) 0.192627 8
neighborOf(guatemala,central_african_republic) 0.190653 9
neighborOf(guatemala,chad) 0.186940 10
neighborOf(guernsey,zambia) 0.178592 1
neighborOf(guernsey,south_africa) 0.172373 2
neighborOf(guernsey,russia) 0.160506 3
neighborOf(guernsey,belarus) 0.155395 4
neighborOf(guernsey,namibia) 0.137275 5
neighborOf(guernsey,latvia) 0.136193 6
neighborOf(guernsey,lithuania) 0.135306 7
neighborOf(guernsey,mozambique) 0.135178 8
neighborOf(guernsey,ukraine) 0.133386 9
neighborOf(guernsey,croatia) 0.129304 10
neighborOf(guinea,niger) 0.319720 7
neighborOf(guinea,burkina_faso) 0.287869 8
neighborOf(guinea,nigeria) 0.284351 9
neighborOf(guinea,mauritania) 0.272838 10
neighborOf(guinea_bissau,mali) 0.297869 3
neighborOf(guinea_bissau,niger) 0.240702 4
neighborOf(guinea_bissau,mauritania) 0.230958 5
neighborOf(guinea_bissau,algeria) 0.200485 6
neighborOf(guinea_bissau,burkina_faso) 0.191601 7
neighborOf(guinea_bissau,bulgaria) 0.184476 8
neighborOf(guinea_bissau,gambia) 0.183465 9
neighborOf(guinea_bissau,ivory_coast) 0.183301 10
neighborOf(guyana,argentina) 0.224251 4
neighborOf(guyana,peru) 0.214205 5
neighborOf(guyana,uruguay) 0.187381 6
neighborOf(guyana,paraguay) 0.181016 7
neighborOf(guyana,bolivia) 0.173973 8
neighborOf(guyana,south_sudan) 0.166000 9
neighborOf(guyana,colombia) 0.164075 10
neighborOf(haiti,russia) 0.253027 2
neighborOf(haiti,china) 0.178530 3
neighborOf(haiti,turkmenistan) 0.168799 4
neighborOf(haiti,tajikistan) 0.150509 5
neighborOf(haiti,slovakia) 0.141793 6
neighborOf(haiti,peru) 0.139461 7
neighborOf(haiti,pakistan) 0.137694 8
neighborOf(haiti,hungary) 0.137435 9
neighborOf(haiti,poland) 0.137132 10
neighborOf(honduras,belize) 0.207334 4
neighborOf(honduras,panama) 0.196979 5
neighborOf(honduras,brazil) 0.183310 6
neighborOf(honduras,china) 0.170195 7
neighborOf(honduras,botswana) 0.167551 8
neighborOf(honduras,south_sudan) 0.143064 9
neighborOf(honduras,argentina) 0.142342 10
neighborOf(hong_kong,myanmar) 0.185305 2
neighborOf(hong_kong,india) 0.170006 3
neighborOf(hong_kong,pakistan) 0.151389 4
neighborOf(hong_kong,laos) 0.135600 5
neighborOf(hong_kong,bangladesh) 0.129529 6
neighborOf(hong_kong,afghanistan) 0.126275 7
neighborOf(hong_kong,vietnam) 0.122892 8
neighborOf(hong_kong,cambodia) 0.118664 9
neighborOf(hong_kong,south_sudan) 0.113617 10
neighborOf(hungary,greece) 0.366408 8
neighborOf(hungary,montenegro) 0.353925 9
neighborOf(hungary,moldova) 0.342701 10
neighborOf(iceland,ukraine) 0.178472 1
neighborOf(iceland,russia) 0.162881 2
neighborOf(iceland,austria) 0.153237 3
neighborOf(iceland,finland) 0.153051 4
neighborOf(iceland,andorra) 0.149467 5
neighborOf(iceland,greece) 0.139204 6
neighborOf(iceland,croatia) 0.134638 7
neighborOf(iceland,central_african_republic) 0.133901 8
neighborOf(iceland,germany) 0.131937 9
neighborOf(iceland,kazakhstan) 0.129257 10
neighborOf(india,laos) 0.393967 9
neighborOf(india,macau) 0.330587 10
neighborOf(indonesia,south_africa) 0.162215 4
neighborOf(indonesia,russia) 0.152807 5
neighborOf(indonesia,china) 0.143590 6
neighborOf(indonesia,france) 0.131107 7
neighborOf(indonesia,turkey) 0.126707 8
neighborOf(indonesia,laos) 0.126659 9
neighborOf(indonesia,iraq) 0.126481 10
neighborOf(iran,syria) 0.355482 8
neighborOf(iran,china) 0.342334 9
neighborOf(iran,tajikistan) 0.336288 10
neighborOf(iraq,armenia) 0.387910 7
neighborOf(iraq,azerbaijan) 0.366628 8
neighborOf(iraq,israel) 0.333578 9
neighborOf(iraq,russia) 0.328082 10
neighborOf(ireland,russia) 0.239094 2
neighborOf(ireland,lithuania) 0.205693 3
neighborOf(ireland,latvia) 0.203442 4
neighborOf(ireland,estonia) 0.176884 5
neighborOf(ireland,ukraine) 0.168766 6
neighborOf(ireland,kazakhstan) 0.160325 7
neighborOf(ireland,turkey) 0.146985 8
neighborOf(ireland,barbados) 0.143166 9
neighborOf(ireland,mongolia) 0.138365 10
neighborOf(isle_of_man,latvia) 0.181772 1
neighborOf(isle_of_man,russia) 0.177170 2
neighborOf(isle_of_man,ukraine) 0.143123 3
neighborOf(isle_of_man,belarus) 0.142454 4
neighborOf(isle_of_man,france) 0.140885 5
neighborOf(isle_of_man,turkey) 0.136192 6
neighborOf(isle_of_man,romania) 0.130303 7
neighborOf(isle_of_man,lithuania) 0.129649 8
neighborOf(isle_of_man,sudan) 0.127642 9
neighborOf(isle_of_man,slovenia) 0.126793 10
neighborOf(israel,turkey) 0.362366 6
neighborOf(israel,iraq) 0.327991 7
neighborOf(israel,iran) 0.271213 8
neighborOf(israel,chad) 0.262184 9
neighborOf(israel,saudi_arabia) 0.259199 10
neighborOf(italy,germany) 0.375534 7
neighborOf(italy,slovakia) 0.345266 8
neighborOf(italy,poland) 0.318024 9
neighborOf(italy,liechtenstein) 0.297940 10
neighborOf(ivory_coast,benin) 0.378209 6
neighborOf(ivory_coast,niger) 0.369062 7
neighborOf(ivory_coast,senegal) 0.338339 8
neighborOf(ivory_coast,mauritania) 0.278489 9
neighborOf(ivory_coast,togo) 0.270651 10
neighborOf(jamaica,mali) 0.147721 1
neighborOf(jamaica,ivory_coast) 0.144410 2
neighborOf(jamaica,romania) 0.135307 3
neighborOf(jamaica,ukraine) 0.133460 4
neighborOf(jamaica,wallis_and_futuna) 0.129730 5
neighborOf(jamaica,nigeria) 0.129329 6
neighborOf(jamaica,switzerland) 0.129115 7
neighborOf(jamaica,kosovo) 0.127220 8
neighborOf(jamaica,mongolia) 0.126417 9
neighborOf(jamaica,czechia) 0.124577 10
neighborOf(japan,russia) 0.194370 1
neighborOf(japan,brazil) 0.148836 2
neighborOf(japan,poland) 0.141030 3
neighborOf(japan,myanmar) 0.136444 4
neighborOf(japan,china) 0.136041 5
neighborOf(japan,belgium) 0.133580 6
neighborOf(japan,germany) 0.132812 7
neighborOf(japan,turkey) 0.128590 8
neighborOf(japan,france) 0.125123 9
neighborOf(japan,macedonia) 0.118466 10
neighborOf(jersey,finland) 0.200506 1
neighborOf(jersey,russia) 0.189244 2
neighborOf(jersey,ukraine) 0.170180 3
neighborOf(jersey,south_africa) 0.166188 4
neighborOf(jersey,chad) 0.163539 5
neighborOf(jersey,mali) 0.161856 6
neighborOf(jersey,kazakhstan) 0.156632 7
neighborOf(jersey,france) 0.155717 8
neighborOf(jersey,estonia) 0.150992 9
neighborOf(jersey,zambia) 0.147109 10
neighborOf(jordan,turkey) 0.419174 6
neighborOf(jordan,azerbaijan) 0.320616 7
neighborOf(jordan,lebanon) 0.284566 8
neighborOf(jordan,hungary) 0.264816 9
neighborOf(jordan,russia) 0.239794 10
neighborOf(kazakhstan,afghanistan) 0.435674 6
neighborOf(kazakhstan,tajikistan) 0.418504 7
neighborOf(kazakhstan,brazil) 0.384258 8
neighborOf(kazakhstan,argentina) 0.332066 9
neighborOf(kazakhstan,poland) 0.307828 10
neighborOf(kenya,dr_congo) 0.387973 6
neighborOf(kenya,burundi) 0.357090 7
neighborOf(kenya,angola) 0.348681 8
neighborOf(kenya,rwanda) 0.303752 9
neighborOf(kenya,zambia) 0.293935 10
neighborOf(kiribati,ethiopia) 0.137644 1
neighborOf(kiribati,pakistan) 0.130356 2
neighborOf(kiribati,germany) 0.128325 3
neighborOf(kiribati,nigeria) 0.125923 4
neighborOf(kiribati,cape_verde) 0.120894 5
neighborOf(kiribati,ivory_coast) 0.119082 6
neighborOf(kiribati,south_sudan) 0.118900 7
neighborOf(kiribati,uganda) 0.114723 8
neighborOf(kiribati,uzbekistan) 0.114105 9
neighborOf(kiribati,china) 0.112525 10
neighborOf(kosovo,croatia) 0.380601 5
neighborOf(kosovo,romania) 0.320660 6
neighborOf(kosovo,bulgaria) 0.294622 7
neighborOf(kosovo,greece) 0.281028 8
neighborOf(kosovo,china) 0.263231 9
neighborOf(kosovo,turkey) 0.257449 10
neighborOf(kuwait,oman) 0.256778 3
neighborOf(kuwait,turkey) 0.236083 4
neighborOf(kuwait,syria) 0.233709 5
neighborOf(kuwait,azerbaijan) 0.226705 6
neighborOf(kuwait,iran) 0.214004 7
neighborOf(kuwait,israel) 0.198393 8
neighborOf(kuwait,georgia) 0.192549 9
neighborOf(kuwait,armenia) 0.183014 10
neighborOf(kyrgyzstan,afghanistan) 0.426632 5
neighborOf(kyrgyzstan,iran) 0.275083 6
neighborOf(kyrgyzstan,pakistan) 0.248986 7
neighborOf(kyrgyzstan,russia) 0.239312 8
neighborOf(kyrgyzstan,india) 0.239245 9
neighborOf(kyrgyzstan,south_sudan) 0.234026 10
neighborOf(laos,india) 0.388636 6
neighborOf(laos,afghanistan) 0.296705 7
neighborOf(laos,mongolia) 0.279086 8
neighborOf(laos,macau) 0.270915 9
neighborOf(laos,bhutan) 0.264401 10
neighborOf(latvia,poland) 0.338312 5
neighborOf(latvia,ukraine) 0.251218 6
neighborOf(latvia,norway) 0.250430 7
neighborOf(latvia,swaziland) 0.223990 8
neighborOf(latvia,ireland) 0.209570 9
neighborOf(latvia,kazakhstan) 0.204739 10
neighborOf(lebanon,palestine) 0.361979 3
neighborOf(lebanon,turkey) 0.318622 4
neighborOf(lebanon,azerbaijan) 0.300298 5
neighborOf(lebanon,iraq) 0.293195 6
neighborOf(lebanon,jordan) 0.278277 7
neighborOf(lebanon,egypt) 0.261581 8
neighborOf(lebanon,saudi_arabia) 0.258147 9
neighborOf(lebanon,north_korea) 0.252931 10
neighborOf(lesotho,mozambique) 0.244921 2
neighborOf(lesotho,zambia) 0.202480 3
neighborOf(lesotho,tanzania) 0.181221 4
neighborOf(lesotho,botswana) 0.180920 5
neighborOf(lesotho,benin) 0.177862 6
neighborOf(lesotho,turkey) 0.172835 7
neighborOf(lesotho,angola) 0.153634 8
neighborOf(lesotho,russia) 0.152365 9
neighborOf(lesotho,south_sudan) 0.152362 10
neighborOf(liberia,burkina_faso) 0.340502 4
neighborOf(liberia,senegal) 0.315502 5
neighborOf(liberia,mali) 0.258335 6
neighborOf(liberia,niger) 0.245318 7
neighborOf(liberia,mauritania) 0.232858 8
neighborOf(liberia,colombia) 0.207939 9
neighborOf(liberia,algeria) 0.200184 10
neighborOf(libya,mali) 0.344679 7
neighborOf(libya,central_african_republic) 0.289978 8
neighborOf(libya,mauritania) 0.279951 9
neighborOf(libya,nigeria) 0.275181 10
neighborOf(liechtenstein,germany) 0.316920 3
neighborOf(liechtenstein,italy) 0.295287 4
neighborOf(liechtenstein,czechia) 0.269823 5
neighborOf(liechtenstein,slovakia) 0.267320 6
neighborOf(liechtenstein,hungary) 0.264281 7
neighborOf(liechtenstein,slovenia) 0.214902 8
neighborOf(liechtenstein,libya) 0.214504 9
neighborOf(liechtenstein,ukraine) 0.212340 10
neighborOf(lithuania,ukraine) 0.304298 5
neighborOf(lithuania,estonia) 0.257927 6
neighborOf(lithuania,finland) 0.232066 7
neighborOf(lithuania,austria) 0.232002 8
neighborOf(lithuania,swaziland) 0.231759 9
neighborOf(lithuania,azerbaijan) 0.215993 10
neighborOf(luxembourg,austria) 0.314312 4
neighborOf(luxembourg,italy) 0.266793 5
neighborOf(luxembourg,switzerland) 0.235623 6
neighborOf(luxembourg,czechia) 0.223892 7
neighborOf(luxembourg,kazakhstan) 0.220442 8
neighborOf(luxembourg,andorra) 0.206017 9
neighborOf(luxembourg,china) 0.201368 10
neighborOf(macau,india) 0.331214 2
neighborOf(macau,laos) 0.268773 3
neighborOf(macau,pakistan) 0.248469 4
neighborOf(macau,myanmar) 0.231847 5
neighborOf(macau,russia) 0.209767 6
neighborOf(macau,afghanistan) 0.208738 7
neighborOf(macau,central_african_republic) 0.195072 8
neighborOf(macau,dr_congo) 0.190214 9
neighborOf(macau,bhutan) 0.179618 10
neighborOf(macedonia,romania) 0.345839 6
neighborOf(macedonia,bosnia_and_herzegovina) 0.317790 7
neighborOf(macedonia,hungary) 0.317636 8
neighborOf(macedonia,croatia) 0.310270 9
neighborOf(macedonia,slovakia) 0.269602 10
neighborOf(madagascar,tanzania) 0.207465 1
neighborOf(madagascar,zambia) 0.184321 2
neighborOf(madagascar,rwanda) 0.166348 3
neighborOf(madagascar,south_africa) 0.166242 4
neighborOf(madagascar,mali) 0.156309 5
neighborOf(madagascar,angola) 0.150463 6
neighborOf(madagascar,dr_congo) 0.148714 7
neighborOf(madagascar,kenya) 0.145979 8
neighborOf(madagascar,south_sudan) 0.141608 9
neighborOf(madagascar,niger) 0.137268 10
neighborOf(malawi,angola) 0.344260 4
neighborOf(malawi,south_sudan) 0.340090 5
neighborOf(malawi,dr_congo) 0.325174 6
neighborOf(malawi,south_africa) 0.305955 7
neighborOf(malawi,botswana) 0.302413 8
neighborOf(malawi,central_african_republic) 0.293752 9
neighborOf(malawi,rwanda) 0.290033 10
neighborOf(malaysia,china) 0.239219 4
neighborOf(malaysia,north_korea) 0.205042 5
neighborOf(malaysia,mongolia) 0.203764 6
neighborOf(malaysia,vietnam) 0.194151 7
neighborOf(malaysia,laos) 0.181428 8
neighborOf(malaysia,russia) 0.176509 9
neighborOf(malaysia,cameroon) 0.176368 10
neighborOf(maldives,china) 0.151869 1
neighborOf(maldives,mongolia) 0.144580 2
neighborOf(maldives,romania) 0.143864 3
neighborOf(maldives,bosnia_and_herzegovina) 0.137221 4
neighborOf(maldives,india) 0.133795 5
neighborOf(maldives,myanmar) 0.131775 6
neighborOf(maldives,afghanistan) 0.127118 7
neighborOf(maldives,panama) 0.124565 8
neighborOf(maldives,laos) 0.124230 9
neighborOf(maldives,estonia) 0.120734 10
neighborOf(mali,benin) 0.386849 8
neighborOf(mali,nigeria) 0.365114 9
neighborOf(mali,libya) 0.350557 10
neighborOf(malta,libya) 0.188564 1
neighborOf(malta,chad) 0.175949 2
neighborOf(malta,iran) 0.173790 3
neighborOf(malta,ukraine) 0.165745 4
neighborOf(malta,egypt) 0.165529 5
neighborOf(malta,russia) 0.162503 6
neighborOf(malta,germany) 0.158339 7
neighborOf(malta,brazil) 0.157289 8
neighborOf(malta,romania) 0.156603 9
neighborOf(malta,niger) 0.155204 10
neighborOf(marshall_islands,central_african_republic) 0.169601 1
neighborOf(marshall_islands,chad) 0.164237 2
neighborOf(marshall_islands,south_sudan) 0.149168 3
neighborOf(marshall_islands,uganda) 0.139256 4
neighborOf(marshall_islands,turkey) 0.132155 5
neighborOf(marshall_islands,mozambique) 0.125344 6
neighborOf(marshall_islands,iran) 0.123312 7
neighborOf(marshall_islands,syria) 0.122381 8
neighborOf(marshall_islands,ethiopia) 0.121786 9
neighborOf(marshall_islands,mauritania) 0.121327 10
neighborOf(martinique,poland) 0.148177 1
neighborOf(martinique,mali) 0.138773 2
neighborOf(martinique,russia) 0.135069 3
neighborOf(martinique,burkina_faso) 0.125180 4
neighborOf(martinique,pakistan) 0.122452 5
neighborOf(martinique,north_korea) 0.121304 6
neighborOf(martinique,belarus) 0.119677 7
neighborOf(martinique,niger) 0.116146 8
neighborOf(martinique,san_marino) 0.114908 9
neighborOf(martinique,france) 0.112087 10
neighborOf(mauritania,niger) 0.380738 5
neighborOf(mauritania,benin) 0.292261 6
neighborOf(mauritania,libya) 0.282244 7
neighborOf(mauritania,guinea) 0.272656 8
neighborOf(mauritania,ivory_coast) 0.269879 9
neighborOf(mauritania,chad) 0.263894 10
neighborOf(mauritius,dr_congo) 0.257276 1
neighborOf(mauritius,cameroon) 0.225142 2
neighborOf(mauritius,sudan) 0.218537 3
neighborOf(mauritius,angola) 0.196687 4
neighborOf(mauritius,tanzania) 0.194096 5
neighborOf(mauritius,niger) 0.175129 6
neighborOf(mauritius,uganda) 0.173638 7
neighborOf(mauritius,south_sudan) 0.158192 8
neighborOf(mauritius,zambia) 0.153950 9
neighborOf(mauritius,portugal) 0.153707 10
neighborOf(mayotte,tanzania) 0.232601 1
neighborOf(mayotte,zambia) 0.226649 2
neighborOf(mayotte,rwanda) 0.215214 3
neighborOf(mayotte,dr_congo) 0.210511 4
neighborOf(mayotte,south_sudan) 0.209474 5
neighborOf(mayotte,republic_of_the_congo) 0.189473 6
neighborOf(mayotte,benin) 0.176172 7
neighborOf(mayotte,burundi) 0.174989 8
neighborOf(mayotte,chad) 0.165707 9
neighborOf(mayotte,sudan) 0.165695 10
neighborOf(mexico,zambia) 0.174443 4
neighborOf(mexico,cameroon) 0.169421 5
neighborOf(mexico,south_sudan) 0.165411 6
neighborOf(mexico,republic_of_the_congo) 0.164006 7
neighborOf(mexico,botswana) 0.162434 8
neighborOf(mexico,bulgaria) 0.161530 9
neighborOf(mexico,chad) 0.156614 10
neighborOf(moldova,slovakia) 0.356597 3
neighborOf(moldova,hungary) 0.343361 4
neighborOf(moldova,poland) 0.272375 5
neighborOf(moldova,austria) 0.247930 6
neighborOf(moldova,russia) 0.234887 7
neighborOf(moldova,serbia) 0.233695 8
neighborOf(moldova,germany) 0.225062 9
neighborOf(moldova,czechia) 0.221245 10
neighborOf(monaco,kazakhstan) 0.153493 2
neighborOf(monaco,china) 0.149552 3
neighborOf(monaco,afghanistan) 0.139694 4
neighborOf(monaco,tajikistan) 0.132762 5
neighborOf(monaco,spain) 0.130115 6
neighborOf(monaco,germany) 0.129993 7
neighborOf(monaco,malaysia) 0.128227 8
neighborOf(monaco,central_african_republic) 0.116543 9
neighborOf(monaco,luxembourg) 0.111614 10
neighborOf(mongolia,laos) 0.270890 3
neighborOf(mongolia,french_guiana) 0.255978 4
neighborOf(mongolia,poland) 0.251390 5
neighborOf(mongolia,india) 0.242502 6
neighborOf(mongolia,senegal) 0.236446 7
neighborOf(mongolia,bhutan) 0.224094 8
neighborOf(mongolia,germany) 0.219920 9
neighborOf(mongolia,ukraine) 0.218283 10
neighborOf(montenegro,hungary) 0.353643 6
neighborOf(montenegro,bulgaria) 0.340155 7
neighborOf(montenegro,romania) 0.309957 8
neighborOf(montenegro,macedonia) 0.265417 9
neighborOf(montenegro,turkey) 0.260210 10
neighborOf(montserrat,argentina) 0.209206 1
neighborOf(montserrat,kosovo) 0.171432 2
neighborOf(montserrat,brazil) 0.164664 3
neighborOf(montserrat,croatia) 0.163946 4
neighborOf(montserrat,montenegro) 0.158711 5
neighborOf(montserrat,bulgaria) 0.151403 6
neighborOf(montserrat,ivory_coast) 0.151242 7
neighborOf(montserrat,bolivia) 0.138771 8
neighborOf(montserrat,china) 0.138023 9
neighborOf(montserrat,bosnia_and_herzegovina) 0.136014 10
neighborOf(morocco,mali) 0.252459 4
neighborOf(morocco,azerbaijan) 0.251305 5
neighborOf(morocco,libya) 0.248263 6
neighborOf(morocco,niger) 0.214117 7
neighborOf(morocco,mauritania) 0.192772 8
neighborOf(morocco,france) 0.184027 9
neighborOf(morocco,peru) 0.180622 10
neighborOf(mozambique,namibia) 0.481738 7
neighborOf(mozambique,botswana) 0.474428 8
neighborOf(mozambique,dr_congo) 0.386519 9
neighborOf(mozambique,south_sudan) 0.324317 10
neighborOf(myanmar,pakistan) 0.396603 6
neighborOf(myanmar,nepal) 0.378969 7
neighborOf(myanmar,vietnam) 0.371774 8
neighborOf(myanmar,afghanistan) 0.365622 9
neighborOf(myanmar,bhutan) 0.275616 10
neighborOf(namibia,mozambique) 0.468084 5
neighborOf(namibia,central_african_republic) 0.312266 6
neighborOf(namibia,dr_congo) 0.308348 7
neighborOf(namibia,south_sudan) 0.307831 8
neighborOf(namibia,zimbabwe) 0.292828 9
neighborOf(namibia,tanzania) 0.280914 10
neighborOf(nauru,afghanistan) 0.157821 1
neighborOf(nauru,ukraine) 0.147214 2
neighborOf(nauru,south_sudan) 0.138592 3
neighborOf(nauru,central_african_republic) 0.136406 4
neighborOf(nauru,iran) 0.131777 5
neighborOf(nauru,china) 0.128412 6
neighborOf(nauru,kenya) 0.125602 7
neighborOf(nauru,russia) 0.125454 8
neighborOf(nauru,turkey) 0.117447 9
neighborOf(nauru,tajikistan) 0.117149 10
neighborOf(nepal,myanmar) 0.374755 3
neighborOf(nepal,laos) 0.255749 4
neighborOf(nepal,pakistan) 0.224967 5
neighborOf(nepal,south_sudan) 0.220245 6
neighborOf(nepal,central_african_republic) 0.208886 7
neighborOf(nepal,cambodia) 0.202867 8
neighborOf(nepal,mongolia) 0.196086 9
neighborOf(nepal,afghanistan) 0.195695 10
neighborOf(netherlands,france) 0.231242 3
neighborOf(netherlands,italy) 0.185690 4
neighborOf(netherlands,russia) 0.182490 5
neighborOf(netherlands,argentina) 0.180163 6
neighborOf(netherlands,slovakia) 0.179338 7
neighborOf(netherlands,czechia) 0.177148 8
neighborOf(netherlands,austria) 0.173436 9
neighborOf(netherlands,kazakhstan) 0.156948 10
neighborOf(new_caledonia,south_sudan) 0.143343 1
neighborOf(new_caledonia,kenya) 0.141880 2
neighborOf(new_caledonia,eritrea) 0.140583 3
neighborOf(new_caledonia,ethiopia) 0.131470 4
neighborOf(new_caledonia,russia) 0.124159 5
neighborOf(new_caledonia,iran) 0.121682 6
neighborOf(new_caledonia,germany) 0.115009 7
neighborOf(new_caledonia,dr_congo) 0.113182 8
neighborOf(new_caledonia,belarus) 0.112439 9
neighborOf(new_caledonia,cameroon) 0.110655 10
neighborOf(new_zealand,india) 0.166716 1
neighborOf(new_zealand,kazakhstan) 0.161131 2
neighborOf(new_zealand,mozambique) 0.141523 3
neighborOf(new_zealand,afghanistan) 0.136779 4
