process_of(experimental_model_of_disease,natural_phenomenon_or_process) 3
causes(rickettsia_or_chlamydia,pathologic_function) -1
causes(inorganic_chemical,anatomical_abnormality) 5
affects(element_ion_or_isotope,natural_phenomenon_or_process) 2
isa(mental_or_behavioral_dysfunction,pathologic_function) 8
isa(neuroreactive_substance_or_biogenic_amine,physical_object) 5
measures(molecular_biology_research_technique,enzyme) 5
causes(nucleic_acid_nucleoside_or_nucleotide,cell_or_molecular_dysfunction) 5
interacts_with(plant,vertebrate) 2
complicates(receptor,neoplastic_process) 5
process_of(pathologic_function,mental_process) 2
complicates(antibiotic,organ_or_tissue_function) 5
disrupts(enzyme,cell_function) 5
evaluation_of(finding,cell_function) -1
complicates(pathologic_function,acquired_abnormality) 2
issue_in(reptile,biomedical_occupation_or_discipline) 5
carries_out(organization,occupational_activity) -1
issue_in(bird,biomedical_occupation_or_discipline) -1
produces(group,medical_device) 5
complicates(cell_or_molecular_dysfunction,anatomical_abnormality) 2
interacts_with(chemical_viewed_structurally,carbohydrate) 5
affects(experimental_model_of_disease,organ_or_tissue_function) 2
part_of(acquired_abnormality,bacterium) 5
measures(laboratory_procedure,pharmacologic_substance) 5
treats(therapeutic_or_preventive_procedure,cell_or_molecular_dysfunction) -1
affects(organic_chemical,genetic_function) 2
affects(chemical,natural_phenomenon_or_process) 2
affects(diagnostic_procedure,genetic_function) 2
affects(chemical_viewed_functionally,pathologic_function) 2
result_of(mental_or_behavioral_dysfunction,molecular_function) 1
affects(chemical,molecular_function) 2
complicates(antibiotic,experimental_model_of_disease) 2
location_of(body_space_or_junction,experimental_model_of_disease) 2
isa(steroid,entity) 5
associated_with(health_care_activity,neoplastic_process) 2
process_of(genetic_function,animal) 2
occurs_in(anatomical_abnormality,age_group) 5
evaluation_of(sign_or_symptom,pathologic_function) 5
interacts_with(plant,reptile) 2
causes(carbohydrate,congenital_abnormality) 5
measures(laboratory_procedure,genetic_function) 5
affects(eicosanoid,molecular_function) 2
measures(diagnostic_procedure,genetic_function) 5
affects(steroid,physiologic_function) 2
interacts_with(chemical_viewed_functionally,antibiotic) 3
analyzes(diagnostic_procedure,body_substance) 5
result_of(mental_or_behavioral_dysfunction,health_care_activity) 2
causes(fungus,pathologic_function) 5
issue_in(molecular_biology_research_technique,occupation_or_discipline) -1
location_of(fully_formed_anatomical_structure,molecular_function) 5
produces(mental_or_behavioral_dysfunction,vitamin) 10
complicates(neuroreactive_substance_or_biogenic_amine,cell_or_molecular_dysfunction) 2
complicates(pathologic_function,congenital_abnormality) 2
process_of(biologic_function,vertebrate) 2
assesses_effect_of(laboratory_procedure,chemical) -1
uses(therapeutic_or_preventive_procedure,antibiotic) 5
isa(mammal,organism) -1
part_of(congenital_abnormality,reptile) 5
degree_of(mental_or_behavioral_dysfunction,experimental_model_of_disease) 3
analyzes(diagnostic_procedure,organic_chemical) -1
affects(diagnostic_procedure,biologic_function) 2
affects(disease_or_syndrome,plant) 2
affects(therapeutic_or_preventive_procedure,mental_or_behavioral_dysfunction) 2
precedes(neoplastic_process,pathologic_function) 3
isa(organism,physical_object) 3
occurs_in(mental_or_behavioral_dysfunction,professional_or_occupational_group) 3
affects(mental_or_behavioral_dysfunction,cell_or_molecular_dysfunction) 2
manifestation_of(cell_or_molecular_dysfunction,experimental_model_of_disease) 2
interacts_with(eicosanoid,biomedical_or_dental_material) 3
result_of(pathologic_function,behavior) 3
affects(vitamin,molecular_function) 2
treats(medical_device,neoplastic_process) 10
assesses_effect_of(laboratory_procedure,vitamin) 5
diagnoses(diagnostic_procedure,pathologic_function) 10
measures(research_activity,biologically_active_substance) 5
degree_of(mental_or_behavioral_dysfunction,pathologic_function) 2
complicates(immunologic_factor,cell_function) 5
process_of(genetic_function,mammal) 5
disrupts(receptor,body_part_organ_or_organ_component) 5
complicates(hazardous_or_poisonous_substance,injury_or_poisoning) 4
result_of(clinical_attribute,pathologic_function) 2
manifestation_of(pathologic_function,molecular_function) 3
affects(pathologic_function,mental_process) 2
causes(indicator_reagent_or_diagnostic_aid,disease_or_syndrome) -1
isa(temporal_concept,idea_or_concept) -1
produces(disease_or_syndrome,receptor) -1
measurement_of(organism_attribute,physiologic_function) -1
measures(research_activity,eicosanoid) -1
occurs_in(pathologic_function,family_group) 4
evaluation_of(laboratory_or_test_result,disease_or_syndrome) -1
uses(family_group,medical_device) 10
part_of(fully_formed_anatomical_structure,amphibian) 5
occurs_in(organism_function,temporal_concept) -1
measures(laboratory_procedure,receptor) 5
contains(embryonic_structure,body_substance) -1
result_of(mental_or_behavioral_dysfunction,phenomenon_or_process) 2
result_of(injury_or_poisoning,neoplastic_process) 2
interacts_with(steroid,immunologic_factor) 2
result_of(injury_or_poisoning,mental_or_behavioral_dysfunction) 1
location_of(fully_formed_anatomical_structure,neoplastic_process) 5
isa(family_group,group) 3
process_of(organ_or_tissue_function,virus) 2
result_of(congenital_abnormality,organism_function) 2
location_of(body_location_or_region,organ_or_tissue_function) 5
occurs_in(anatomical_abnormality,population_group) 5
performs(patient_or_disabled_group,activity) 5
produces(organ_or_tissue_function,hormone) 5
affects(health_care_activity,cell_or_molecular_dysfunction) 2
result_of(pathologic_function,phenomenon_or_process) 2
result_of(environmental_effect_of_humans,anatomical_abnormality) 1
process_of(disease_or_syndrome,reptile) 2
uses(population_group,manufactured_object) 5
indicates(laboratory_or_test_result,neoplastic_process) -1
interacts_with(chemical_viewed_structurally,antibiotic) 2
ingredient_of(chemical_viewed_functionally,clinical_drug) -1
treats(medical_device,sign_or_symptom) -1
result_of(clinical_attribute,organ_or_tissue_function) 2
affects(neoplastic_process,genetic_function) 3
manifestation_of(finding,congenital_abnormality) 3
manifestation_of(pathologic_function,mental_process) 5
associated_with(behavior,group_attribute) -1
causes(bacterium,neoplastic_process) -1
interacts_with(fungus,bird) 2
isa(enzyme,biologically_active_substance) 5
part_of(cell_component,bacterium) 4
associated_with(geographic_area,acquired_abnormality) 5
measures(laboratory_procedure,organism_function) -1
result_of(mental_or_behavioral_dysfunction,anatomical_abnormality) 2
process_of(cell_or_molecular_dysfunction,archaeon) 2
causes(body_substance,acquired_abnormality) 5
measures(research_activity,chemical_viewed_structurally) 5
result_of(organism_function,pathologic_function) 2
result_of(experimental_model_of_disease,biologic_function) 2
affects(pathologic_function,rickettsia_or_chlamydia) 2
interacts_with(vitamin,immunologic_factor) 3
process_of(organ_or_tissue_function,cell_function) 2
complicates(neuroreactive_substance_or_biogenic_amine,genetic_function) 5
uses(patient_or_disabled_group,manufactured_object) 5
produces(fully_formed_anatomical_structure,vitamin) 10
issue_in(enzyme,occupation_or_discipline) -1
complicates(neuroreactive_substance_or_biogenic_amine,mental_or_behavioral_dysfunction) 3
prevents(antibiotic,experimental_model_of_disease) 5
issue_in(family_group,biomedical_occupation_or_discipline) -1
associated_with(governmental_or_regulatory_activity,disease_or_syndrome) 3
complicates(enzyme,mental_or_behavioral_dysfunction) 3
isa(immunologic_factor,substance) 2
occurs_in(disease_or_syndrome,mental_or_behavioral_dysfunction) 1
affects(steroid,cell_or_molecular_dysfunction) 4
process_of(genetic_function,alga) 5
affects(pharmacologic_substance,neoplastic_process) 2
produces(neoplastic_process,biologically_active_substance) 7
disrupts(hazardous_or_poisonous_substance,cell_function) 5
associated_with(health_care_activity,mental_or_behavioral_dysfunction) 3
affects(cell_or_molecular_dysfunction,invertebrate) 3
measures(laboratory_procedure,cell_function) -1
treats(medical_device,mental_or_behavioral_dysfunction) -1
disrupts(neuroreactive_substance_or_biogenic_amine,cell_function) 5
result_of(organism_function,natural_phenomenon_or_process) 1
causes(drug_delivery_device,congenital_abnormality) 5
treats(antibiotic,congenital_abnormality) 10
process_of(genetic_function,natural_phenomenon_or_process) 1
result_of(neoplastic_process,cell_or_molecular_dysfunction) 2
associated_with(individual_behavior,anatomical_abnormality) 3
location_of(gene_or_genome,fungus) 2
result_of(biologic_function,congenital_abnormality) 1
associated_with(experimental_model_of_disease,organism_attribute) 5
indicates(immunologic_factor,bacterium) -1
measurement_of(laboratory_or_test_result,steroid) -1
measures(diagnostic_procedure,neoplastic_process) 5
affects(amino_acid_peptide_or_protein,pathologic_function) 2
causes(nucleic_acid_nucleoside_or_nucleotide,injury_or_poisoning) 5
associated_with(occupational_activity,injury_or_poisoning) 5
complicates(hormone,disease_or_syndrome) 3
conceptual_part_of(temporal_concept,organism_function) -1
complicates(cell_or_molecular_dysfunction,acquired_abnormality) 3
measures(research_activity,amino_acid_peptide_or_protein) 5
issue_in(body_system,biomedical_occupation_or_discipline) -1
interacts_with(element_ion_or_isotope,pharmacologic_substance) 2
issue_in(invertebrate,occupation_or_discipline) -1
isa(body_space_or_junction,entity) -1
isa(human_caused_phenomenon_or_process,event) -1
result_of(environmental_effect_of_humans,biologic_function) 2
location_of(cell,fungus) 4
result_of(cell_or_molecular_dysfunction,acquired_abnormality) 2
assesses_effect_of(laboratory_procedure,organic_chemical) -1
isa(mental_or_behavioral_dysfunction,phenomenon_or_process) 2
location_of(health_care_related_organization,educational_activity) -1
result_of(neoplastic_process,environmental_effect_of_humans) 2
isa(human,organism) 3
precedes(organism_function,cell_function) -1
complicates(enzyme,experimental_model_of_disease) 3
result_of(acquired_abnormality,congenital_abnormality) 1
isa(age_group,conceptual_entity) -1
exhibits(bird,behavior) -1
isa(enzyme,chemical_viewed_functionally) 5
measures(laboratory_procedure,inorganic_chemical) 5
process_of(mental_process,organ_or_tissue_function) 3
complicates(injury_or_poisoning,acquired_abnormality) 3
result_of(mental_process,cell_function) 2
measures(molecular_biology_research_technique,lipid) 5
isa(finding,entity) 5
affects(lipid,organ_or_tissue_function) 4
produces(cell_function,body_substance) 5
evaluation_of(laboratory_or_test_result,pathologic_function) 5
affects(biologically_active_substance,mental_process) 2
measures(diagnostic_procedure,mental_process) 5
issue_in(research_device,occupation_or_discipline) -1
affects(anatomical_abnormality,bacterium) 2
affects(organophosphorus_compound,natural_phenomenon_or_process) 3
manifestation_of(congenital_abnormality,mental_or_behavioral_dysfunction) 3
location_of(body_part_organ_or_organ_component,organism_function) 5
prevents(pharmacologic_substance,experimental_model_of_disease) 5
process_of(disease_or_syndrome,alga) 2
assesses_effect_of(laboratory_procedure,nucleic_acid_nucleoside_or_nucleotide) -1
result_of(natural_phenomenon_or_process,pathologic_function) 2
degree_of(disease_or_syndrome,neoplastic_process) 2
isa(mental_process,physiologic_function) 5
produces(gene_or_genome,lipid) -1
location_of(cell,mental_or_behavioral_dysfunction) 2
affects(biologic_function,human) 2
affects(gene_or_genome,organism_function) 4
treats(medical_device,acquired_abnormality) -1
causes(body_substance,mental_or_behavioral_dysfunction) 5
isa(fish,entity) 5
result_of(molecular_function,mental_or_behavioral_dysfunction) 1
affects(mental_process,cell_or_molecular_dysfunction) 2
location_of(embryonic_structure,neoplastic_process) 5
complicates(biologically_active_substance,neoplastic_process) 3
part_of(cell,reptile) 3
produces(mental_process,enzyme) 5
measurement_of(laboratory_or_test_result,biologically_active_substance) -1
result_of(pathologic_function,disease_or_syndrome) 1
precedes(organ_or_tissue_function,cell_function) 1
part_of(cell_component,plant) 2
performs(family_group,educational_activity) 5
produces(tissue,eicosanoid) 10
affects(inorganic_chemical,cell_or_molecular_dysfunction) 2
interacts_with(antibiotic,biologically_active_substance) 3
performs(family_group,molecular_biology_research_technique) 5
disrupts(neuroreactive_substance_or_biogenic_amine,genetic_function) 5
result_of(phenomenon_or_process,organ_or_tissue_function) 2
result_of(injury_or_poisoning,pathologic_function) 2
treats(drug_delivery_device,neoplastic_process) 5
exhibits(reptile,social_behavior) 5
uses(group,drug_delivery_device) 5
part_of(gene_or_genome,reptile) 2
affects(organism_function,mental_or_behavioral_dysfunction) 3
affects(acquired_abnormality,human) 2
causes(amino_acid_peptide_or_protein,anatomical_abnormality) 5
property_of(clinical_attribute,fish) 5
measures(diagnostic_procedure,chemical_viewed_functionally) -1
interacts_with(organophosphorus_compound,hazardous_or_poisonous_substance) 2
affects(health_care_activity,genetic_function) 2
isa(sign_or_symptom,entity) -1
co-occurs_with(congenital_abnormality,acquired_abnormality) -1
affects(carbohydrate,disease_or_syndrome) 2
affects(biologically_active_substance,pathologic_function) 3
part_of(cell,organism) 2
interacts_with(bacterium,reptile) 3
interacts_with(receptor,hazardous_or_poisonous_substance) 3
affects(mental_or_behavioral_dysfunction,natural_phenomenon_or_process) 3
part_of(gene_or_genome,bacterium) 4
result_of(physiologic_function,human_caused_phenomenon_or_process) 2
associated_with(anatomical_abnormality,clinical_attribute) 3
performs(age_group,daily_or_recreational_activity) 5
affects(congenital_abnormality,amphibian) 2
location_of(tissue,neoplastic_process) 5
manifestation_of(acquired_abnormality,mental_or_behavioral_dysfunction) 3
analyzes(diagnostic_procedure,indicator_reagent_or_diagnostic_aid) -1
process_of(mental_process,physiologic_function) 1
analyzes(laboratory_procedure,element_ion_or_isotope) -1
issue_in(anatomical_structure,biomedical_occupation_or_discipline) -1
uses(patient_or_disabled_group,regulation_or_law) 5
affects(physiologic_function,mental_process) 2
issue_in(chemical,biomedical_occupation_or_discipline) -1
part_of(cell_component,body_part_organ_or_organ_component) 5
part_of(cell,animal) 3
location_of(body_location_or_region,pathologic_function) 5
result_of(mental_or_behavioral_dysfunction,therapeutic_or_preventive_procedure) 3
produces(body_part_organ_or_organ_component,body_substance) 5
associated_with(governmental_or_regulatory_activity,mental_or_behavioral_dysfunction) 3
uses(therapeutic_or_preventive_procedure,medical_device) 10
associated_with(diagnostic_procedure,neoplastic_process) -1
interacts_with(organophosphorus_compound,eicosanoid) 2
process_of(cell_or_molecular_dysfunction,invertebrate) 2
affects(physiologic_function,mammal) 2
process_of(cell_function,genetic_function) 2
measurement_of(laboratory_or_test_result,genetic_function) -1
diagnoses(professional_or_occupational_group,pathologic_function) 10
prevents(antibiotic,pathologic_function) 5
disrupts(pharmacologic_substance,organ_or_tissue_function) 5
property_of(amino_acid_sequence,amino_acid_peptide_or_protein) -1
affects(organ_or_tissue_function,rickettsia_or_chlamydia) 4
process_of(disease_or_syndrome,cell_function) 3
treats(therapeutic_or_preventive_procedure,neoplastic_process) 5
causes(medical_device,cell_or_molecular_dysfunction) 5
result_of(qualitative_concept,mental_process) -1
manifestation_of(experimental_model_of_disease,neoplastic_process) 3
affects(acquired_abnormality,vertebrate) 2
issue_in(medical_device,occupation_or_discipline) 5
location_of(congenital_abnormality,disease_or_syndrome) 3
result_of(cell_or_molecular_dysfunction,mental_process) 1
affects(organophosphorus_compound,mental_process) 3
causes(steroid,congenital_abnormality) 5
location_of(cell,biologic_function) 2
affects(element_ion_or_isotope,cell_function) 2
measurement_of(laboratory_or_test_result,vitamin) -1
interacts_with(pharmacologic_substance,indicator_reagent_or_diagnostic_aid) 2
result_of(physiologic_function,phenomenon_or_process) 3
affects(diagnostic_procedure,mental_process) 2
causes(nucleic_acid_nucleoside_or_nucleotide,mental_or_behavioral_dysfunction) 5
affects(inorganic_chemical,mental_process) 3
process_of(genetic_function,virus) 3
co-occurs_with(mental_or_behavioral_dysfunction,acquired_abnormality) 3
surrounds(tissue,cell) -1
affects(amino_acid_peptide_or_protein,cell_or_molecular_dysfunction) 2
result_of(physiologic_function,cell_or_molecular_dysfunction) 1
interacts_with(organophosphorus_compound,antibiotic) 2
produces(cell_component,hormone) 5
affects(immunologic_factor,cell_or_molecular_dysfunction) 2
affects(pathologic_function,physiologic_function) 3
interacts_with(rickettsia_or_chlamydia,bird) 5
result_of(natural_phenomenon_or_process,mental_process) 3
produces(age_group,regulation_or_law) 5
property_of(group_attribute,patient_or_disabled_group) -1
interacts_with(professional_or_occupational_group,age_group) 3
complicates(pharmacologic_substance,organ_or_tissue_function) 5
property_of(organism_attribute,fish) 5
location_of(body_location_or_region,therapeutic_or_preventive_procedure) 5
affects(cell_function,bird) 2
process_of(disease_or_syndrome,mammal) 3
property_of(organism_attribute,bacterium) 5
result_of(disease_or_syndrome,cell_or_molecular_dysfunction) 2
part_of(anatomical_structure,animal) 5
part_of(embryonic_structure,animal) 2
isa(amino_acid_peptide_or_protein,chemical) 2
associated_with(geographic_area,experimental_model_of_disease) 5
location_of(plant,neuroreactive_substance_or_biogenic_amine) 10
result_of(natural_phenomenon_or_process,disease_or_syndrome) 2
manifestation_of(pathologic_function,genetic_function) 3
associated_with(finding,disease_or_syndrome) 3
complicates(hazardous_or_poisonous_substance,organism_function) 5
measures(research_activity,body_substance) 5
isa(social_behavior,event) 2
prevents(drug_delivery_device,cell_or_molecular_dysfunction) 5
occurs_in(acquired_abnormality,professional_or_occupational_group) -1
interacts_with(hormone,enzyme) 3
causes(chemical,congenital_abnormality) 5
manifestation_of(pathologic_function,disease_or_syndrome) 3
interacts_with(eicosanoid,hormone) 3
performs(population_group,social_behavior) 5
isa(body_space_or_junction,spatial_concept) -1
part_of(congenital_abnormality,fungus) 5
disrupts(injury_or_poisoning,body_part_organ_or_organ_component) 5
issue_in(pathologic_function,biomedical_occupation_or_discipline) -1
manifestation_of(social_behavior,mental_process) -1
causes(lipid,pathologic_function) -1
complicates(injury_or_poisoning,anatomical_abnormality) 2
affects(chemical_viewed_functionally,neoplastic_process) 2
location_of(body_part_organ_or_organ_component,anatomical_abnormality) 5
result_of(injury_or_poisoning,cell_or_molecular_dysfunction) 1
method_of(molecular_biology_research_technique,biomedical_occupation_or_discipline) -1
produces(organism_function,enzyme) 5
process_of(pathologic_function,biologic_function) 2
surrounds(body_space_or_junction,cell) -1
disrupts(hazardous_or_poisonous_substance,body_part_organ_or_organ_component) 5
isa(fully_formed_anatomical_structure,anatomical_structure) 3
process_of(organ_or_tissue_function,bacterium) 2
result_of(mental_process,pathologic_function) 2
process_of(pathologic_function,amphibian) 2
exhibits(age_group,individual_behavior) -1
occurs_in(experimental_model_of_disease,family_group) 5
location_of(anatomical_structure,fungus) -1
part_of(cell,amphibian) 3
measures(molecular_biology_research_technique,organic_chemical) 5
affects(cell_or_molecular_dysfunction,organism) 2
isa(molecular_function,biologic_function) 3
part_of(tissue,vertebrate) 5
carries_out(organization,educational_activity) -1
location_of(body_space_or_junction,anatomical_abnormality) 2
interacts_with(organic_chemical,receptor) 4
affects(biologically_active_substance,organ_or_tissue_function) 3
precedes(cell_function,organ_or_tissue_function) 1
isa(amino_acid_peptide_or_protein,organic_chemical) 3
affects(anatomical_abnormality,bird) 4
uses(population_group,drug_delivery_device) 5
process_of(biologic_function,neoplastic_process) 3
exhibits(human,social_behavior) 5
ingredient_of(indicator_reagent_or_diagnostic_aid,clinical_drug) -1
affects(pathologic_function,genetic_function) 1
produces(cell_function,hormone) 5
affects(genetic_function,pathologic_function) 1
interacts_with(antibiotic,hazardous_or_poisonous_substance) 3
process_of(disease_or_syndrome,archaeon) 2
occurs_in(cell_or_molecular_dysfunction,neoplastic_process) 3
precedes(mental_or_behavioral_dysfunction,pathologic_function) -1
result_of(molecular_function,genetic_function) 2
result_of(congenital_abnormality,biologic_function) 1
produces(organization,regulation_or_law) 10
causes(steroid,pathologic_function) 5
result_of(experimental_model_of_disease,genetic_function) 3
isa(population_group,group) -1
process_of(organ_or_tissue_function,molecular_function) 1
associated_with(health_care_activity,cell_or_molecular_dysfunction) 2
result_of(pathologic_function,health_care_activity) 2
causes(pharmacologic_substance,neoplastic_process) 5
isa(hormone,physical_object) -1
disrupts(enzyme,cell) 5
issue_in(archaeon,biomedical_occupation_or_discipline) -1
issue_in(organic_chemical,biomedical_occupation_or_discipline) -1
process_of(physiologic_function,alga) 2
part_of(gene_or_genome,organism) 2
isa(diagnostic_procedure,occupational_activity) 3
isa(mental_process,organism_function) -1
affects(mental_or_behavioral_dysfunction,fish) 3
location_of(embryonic_structure,genetic_function) 5
causes(hormone,injury_or_poisoning) 5
manifestation_of(laboratory_or_test_result,biologic_function) 5
disrupts(hazardous_or_poisonous_substance,cell) 5
result_of(individual_behavior,mental_process) 1
isa(hazardous_or_poisonous_substance,physical_object) 5
causes(chemical,acquired_abnormality) 5
causes(biologically_active_substance,pathologic_function) 5
produces(pathologic_function,biologically_active_substance) 5
associated_with(geographic_area,disease_or_syndrome) 5
location_of(cell,anatomical_abnormality) 2
affects(receptor,mental_or_behavioral_dysfunction) 3
affects(physiologic_function,genetic_function) 3
affects(lipid,cell_function) 2
method_of(molecular_biology_research_technique,diagnostic_procedure) -1
associated_with(research_activity,pathologic_function) 2
affects(disease_or_syndrome,alga) 4
interacts_with(nucleic_acid_nucleoside_or_nucleotide,biomedical_or_dental_material) 3
affects(organism_function,neoplastic_process) 3
affects(organic_chemical,pathologic_function) 2
process_of(physiologic_function,rickettsia_or_chlamydia) 4
affects(experimental_model_of_disease,biologic_function) 1
causes(organophosphorus_compound,congenital_abnormality) 5
measurement_of(quantitative_concept,body_location_or_region) -1
manifestation_of(acquired_abnormality,organ_or_tissue_function) 4
isa(receptor,chemical_viewed_functionally) -1
process_of(cell_function,bird) 3
process_of(organ_or_tissue_function,bird) 2
conceptually_related_to(disease_or_syndrome,experimental_model_of_disease) -1
result_of(organism_attribute,neoplastic_process) 3
produces(age_group,medical_device) 5
affects(congenital_abnormality,animal) 5
degree_of(mental_process,organism_function) 1
isa(nucleic_acid_nucleoside_or_nucleotide,entity) -1
co-occurs_with(molecular_function,physiologic_function) -1
isa(genetic_function,physiologic_function) 8
associated_with(disease_or_syndrome,pathologic_function) 3
performs(family_group,therapeutic_or_preventive_procedure) 5
isa(finding,conceptual_entity) 5
produces(biologic_function,biologically_active_substance) 5
isa(lipid,chemical_viewed_structurally) 3
affects(anatomical_abnormality,archaeon) 4
process_of(cell_function,plant) 3
process_of(experimental_model_of_disease,bird) 2
result_of(biologic_function,pathologic_function) 1
isa(bird,animal) -1
manifestation_of(organism_attribute,mental_process) 5
causes(neuroreactive_substance_or_biogenic_amine,mental_or_behavioral_dysfunction) 5
result_of(cell_function,molecular_function) 2
affects(vitamin,disease_or_syndrome) 3
interacts_with(vertebrate,organism) 3
result_of(experimental_model_of_disease,congenital_abnormality) 2
isa(carbohydrate,organic_chemical) -1
occurs_in(congenital_abnormality,professional_or_occupational_group) -1
affects(diagnostic_procedure,cell_or_molecular_dysfunction) 2
evaluation_of(sign_or_symptom,organism_function) -1
issue_in(body_substance,occupation_or_discipline) -1
analyzes(laboratory_procedure,chemical_viewed_structurally) -1
evaluation_of(sign_or_symptom,biologic_function) 5
treats(therapeutic_or_preventive_procedure,congenital_abnormality) 10
diagnoses(diagnostic_procedure,congenital_abnormality) -1
isa(substance,entity) 3
interacts_with(eicosanoid,enzyme) 2
process_of(experimental_model_of_disease,archaeon) 2
complicates(disease_or_syndrome,cell_or_molecular_dysfunction) 3
measurement_of(laboratory_or_test_result,nucleic_acid_nucleoside_or_nucleotide) -1
interacts_with(lipid,indicator_reagent_or_diagnostic_aid) 3
manifestation_of(mental_or_behavioral_dysfunction,physiologic_function) 4
isa(indicator_reagent_or_diagnostic_aid,chemical) -1
associated_with(enzyme,virus) -1
performs(family_group,daily_or_recreational_activity) 5
affects(health_care_activity,mental_process) 2
performs(age_group,machine_activity) 5
part_of(congenital_abnormality,mammal) 5
part_of(acquired_abnormality,fish) 5
affects(pharmacologic_substance,mental_process) 2
disrupts(receptor,organ_or_tissue_function) 5
process_of(pathologic_function,rickettsia_or_chlamydia) 4
location_of(body_location_or_region,injury_or_poisoning) 5
causes(body_substance,pathologic_function) 5
result_of(phenomenon_or_process,environmental_effect_of_humans) 2
complicates(pathologic_function,experimental_model_of_disease) 3
result_of(injury_or_poisoning,cell_function) 1
causes(amino_acid_peptide_or_protein,pathologic_function) 5
interacts_with(enzyme,indicator_reagent_or_diagnostic_aid) 3
process_of(pathologic_function,experimental_model_of_disease) 1
part_of(congenital_abnormality,invertebrate) 5
measurement_of(quantitative_concept,cell_function) -1
associated_with(governmental_or_regulatory_activity,experimental_model_of_disease) 5
isa(chemical_viewed_functionally,substance) 2
co-occurs_with(disease_or_syndrome,mental_or_behavioral_dysfunction) 3
location_of(body_space_or_junction,organism_function) 5
diagnoses(laboratory_procedure,anatomical_abnormality) -1
assesses_effect_of(laboratory_procedure,chemical_viewed_structurally) -1
measures(molecular_biology_research_technique,organism_attribute) 5
analyzes(laboratory_procedure,biologically_active_substance) -1
disrupts(neuroreactive_substance_or_biogenic_amine,gene_or_genome) 5
causes(substance,mental_or_behavioral_dysfunction) 5
affects(cell_function,pathologic_function) 2
affects(indicator_reagent_or_diagnostic_aid,molecular_function) 4
result_of(neoplastic_process,disease_or_syndrome) 1
part_of(congenital_abnormality,amphibian) 5
affects(element_ion_or_isotope,disease_or_syndrome) 2
affects(organism_function,human) 2
interacts_with(amino_acid_peptide_or_protein,steroid) 5
property_of(clinical_attribute,archaeon) -1
performs(family_group,laboratory_procedure) 5
interacts_with(neuroreactive_substance_or_biogenic_amine,chemical) 2
issue_in(experimental_model_of_disease,biomedical_occupation_or_discipline) -1
interacts_with(biomedical_or_dental_material,hazardous_or_poisonous_substance) 2
result_of(organism_attribute,organism_function) 2
part_of(anatomical_abnormality,human) 5
isa(alga,plant) -1
assesses_effect_of(diagnostic_procedure,enzyme) -1
disrupts(biologically_active_substance,organ_or_tissue_function) 5
isa(pharmacologic_substance,chemical_viewed_functionally) -1
location_of(gene_or_genome,acquired_abnormality) 3
disrupts(injury_or_poisoning,cell) 5
interacts_with(bacterium,human) 5
disrupts(immunologic_factor,fully_formed_anatomical_structure) 5
causes(organophosphorus_compound,disease_or_syndrome) 5
degree_of(mental_or_behavioral_dysfunction,disease_or_syndrome) 1
associated_with(educational_activity,pathologic_function) 5
disrupts(neuroreactive_substance_or_biogenic_amine,physiologic_function) 5
analyzes(diagnostic_procedure,vitamin) -1
result_of(genetic_function,pathologic_function) 2
manifestation_of(individual_behavior,mental_or_behavioral_dysfunction) -1
evaluation_of(finding,disease_or_syndrome) -1
part_of(embryonic_structure,plant) 2
occurs_in(mental_or_behavioral_dysfunction,disease_or_syndrome) 1
part_of(cell_component,cell) 3
part_of(body_part_organ_or_organ_component,human) 5
interacts_with(amino_acid_peptide_or_protein,neuroreactive_substance_or_biogenic_amine) 2
carries_out(health_care_related_organization,occupational_activity) -1
process_of(pathologic_function,archaeon) 2
issue_in(eicosanoid,biomedical_occupation_or_discipline) -1
affects(organic_chemical,mental_or_behavioral_dysfunction) 2
part_of(acquired_abnormality,vertebrate) 5
manifestation_of(neoplastic_process,physiologic_function) 4
indicates(laboratory_or_test_result,physiologic_function) -1
produces(tissue,carbohydrate) 5
result_of(physiologic_function,environmental_effect_of_humans) 2
causes(substance,injury_or_poisoning) 5
result_of(biologic_function,phenomenon_or_process) 2
location_of(cell_component,neoplastic_process) 3
interacts_with(animal,organism) 2
precedes(genetic_function,organ_or_tissue_function) 1
result_of(human_caused_phenomenon_or_process,molecular_function) 2
result_of(neoplastic_process,pathologic_function) 1
interacts_with(chemical_viewed_functionally,vitamin) 3
co-occurs_with(organism_function,mental_process) -1
treats(antibiotic,experimental_model_of_disease) 10
produces(professional_or_occupational_group,manufactured_object) 10
location_of(body_part_organ_or_organ_component,experimental_model_of_disease) 2
degree_of(cell_or_molecular_dysfunction,neoplastic_process) 2
process_of(molecular_function,animal) 2
disrupts(immunologic_factor,body_part_organ_or_organ_component) 5
occurs_in(disease_or_syndrome,family_group) 5
issue_in(reptile,occupation_or_discipline) 5
measures(research_activity,organophosphorus_compound) 5
complicates(biologically_active_substance,injury_or_poisoning) 2
result_of(organ_or_tissue_function,molecular_function) 3
issue_in(clinical_drug,biomedical_occupation_or_discipline) -1
affects(vitamin,neoplastic_process) 2
process_of(neoplastic_process,plant) 2
evaluation_of(qualitative_concept,individual_behavior) -1
uses(therapeutic_or_preventive_procedure,clinical_drug) 5
interacts_with(amino_acid_peptide_or_protein,biomedical_or_dental_material) 3
uses(family_group,regulation_or_law) 10
